id,text
55,"RT @smh: The mother of Xiao Li, 22,  who is on life support in hospital has been blocked from entering Australia due to coronavirus | @mich…"
56,RT @CNNBusiness: The Bill and Melinda Gates Foundation is dramatically increasing the amount it's spending to combat the coronavirus outbre…
57,RT @XHNews: LIVE: The 2nd SARS treatment-model hospital is to be put into use in Wuhan. The Leishenshan Hospital is expected to accommodate…
58,"RT @staronline: MATTA Fair postponed to May following coronavirus outbreak
https://t.co/QiaX9fbATN  https://t.co/QiaX9fbATN"
59,RT @neontaster: Can't wait to hear how small a percent of his net worth this is.
60,"RT @AlexKokcharov: Update on the novel #coronavirus outbreak as of 6 February: globally and in #China

https://t.co/tFFcAQsuHl https://t.co…"
61,RT @CGTNOfficial: Putin: ready to provide assistance to help China fight #coronavirus outbreak  https://t.co/efkXwzmUI4 https://t.co/jITaQT…
62,#China's civil aviation regulator on Thursday urged all the country's airlines to maintain their international rout… https://t.co/3WQDrNVaTg
63,"RT @jenniferatntd: FANGCANG HOSPITAL:
We don't accept patients with severe situations!
TWe don't accept those who can't walk, or can't take…"
64,"RT @cnni: The Bill and Melinda Gates Foundation is pledging up to $100 million to help find a vaccine for the coronavirus, limit its spread…"
65,RT @SUhealthsci: The Faculty of Medicine and Health Sciences @StellenboschUni hosted a lunchtime seminar during which virology and infectio…
66,"RT @sceneryfortae: .@KIMTAEHYUNGBAR_ is the only C fansite for a korean idol that has been mentioned in GQ China report for donating 50,000…"
67,"RT @smrtsg: singapore everything also must be top 5. top place to live, top passport, top airport, top coronavirus"
68,"RT @DarrenPlymouth: #Wuhan airport, empty, this will be disastrous to the local economies of #China.

The consequences of the #coronavirus…"
69,"RT @Official_UPD: In view of the global public health emergency due to the Novel Coronavirus, the Organizing Committee announces the postpo…"
70,"RT @evdefender: Did @evdefender crack the underlying #coronavirus reporting function?

Time will tell. https://t.co/bc2XCiuaSb"
71,Oh good☹️☹️☹️
72,@CNN I thought that he was a part owner of the patent on the corona virus
