ID,text
58,Follow us for new posts daily! 💪🏋️💦 #fitness #motivation #gym #workout #health #diet #gymmotivation https://t.co/22IqX7tctG
59,"RT @menumpahkan: How to wear a mask
#coronavirus https://t.co/O71CjIZiWx"
60,"RT @jiehopeworld: in Philippines                             while in Malaysia

#coronavirus https://t.co/7bGINXGU1r"
61,I feel PROUD of our government making great efforts helping infected people out in the most efficient way. Despite… https://t.co/Pb6YGN18Am
62,"RT @thewanderborn: I am an Asian. Niether I am under the outbreak of #CoronaOutbreak but thinking to spread awareness.

Can this spread and…"
63,"RT @GordonGChang: A virologist in #Wuhan has been warning that the coronavirus could jump and create a second center of infection, in a maj…"
64,"RT @new_prykm: This video shows how South Korea Airport is dealing with #coronavirus #โคโรน่าไวรัส from spreading.

อยากเห็นแบบนี้ในไทย
Cr.…"
65,"RT @batchelorshow: unknown.
following all evening, which is morning in Wuhan.
No indication of trust of official information.
the hospitals…"
66,"RT @jjkmaryy: How to wear mask , pls share this so that many people can learn the correct way 
#coronavirus #CoronaOutbreak #CoronavirusOut…"
67,"RT @SM_NCT: [OFFICIAL/TRANS] 200126 #XIAOJUN’s WayZenNi Lysn update

“Good night ☺️ You have to be careful of your health” 

#WayV 
Transla…"
68,RT @SharonMoncur: Perspective
69,"This new coronavirus may be contagious even when the patient shows no symptoms, thus potentially having high transmissibility."
70,RT @hanzyboii: Why do I feel like he's gonna turn into a zombie
71,"Xi'an, capital of NW China's Shaanxi Province, and Shandong Province will suspend trans-provincial inbound &amp; outbou… https://t.co/T0etYb2ozG"
72,"RT @ArifJemali: Coronavirus might comes from snake (Source :WHO)

This virus shows that how Islam literally take care what do we eat. What…"
73,"RT @AngelinaShen36: I live in #Wuhan. Today is the third day of the lockdown of the city. Here are some things I see 
or hear from other ci…"
74,"RT @HausofHilton: To all the healthcare workers, airline crews - pilots , cabin crew, ground staff, airport staff. police, immigration offi…"
75,RT @xualities: me joking about the #coronavirus even though I’m actually lowkey scared https://t.co/yCIVa5pkky
76,RT @bootycheeks: just found out the coronavirus has nothing to do with beer https://t.co/aOYFNuitGO
77,RT @myeonttoki: This is important. Please take care #coronavirus https://t.co/2Ca6OiFYXc
78,"RT @peggymel2001: Australia no longer has a Minister for Emergencies.  The Public Service has been thrown out and with it all knowledge, sk…"
79,"RT @Horiya86710968: #coronavirus
2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake i…"
80,RT @fiqsyhmie: To all those Chinese fuckers who started coronavirus.
81,"RT @hurriyatpk1: Help us: A nurse in Wuhan has claimed that 90,000 people have already been infected by the coronavirus, far more than the…"
82,"RT @Zhou_jinfeng: Since yesterday, we've brought 100,000 face masks 2assist #Wuhan &amp; Xiangyang of #Hubei Prov. Thanks companies urgently al…"
83,"RT @aminsyafee: 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…"
84,RT @KimKim03420670: !!!!! This is why the disease happen to China !!!!!  #coronavirus https://t.co/8q3nvFhJDh
85,"RT @menumpahkan: How to wear a mask
#coronavirus https://t.co/O71CjIZiWx"
86,RT @syahmisulong_: Dating someone who understands your mental health is so important. There’re people who will make you feel terrible for t…
87,"RT @hanipersian: Military medical teams arrives in Wuhan to battle #coronavirus outbreak.
last photo: a medical worker says goodbye to her…"
88,RT @EvonneYChen: @sunfloweraidil Freedom of information=effective public health. Taiwan has been on the frontline dealing China's problems.…
89,"RT @SyedAkramin: Hospital in Wuhan
Total bed : 1,000
Completion : 6 days

Hospital in Rembau
Total bed : 76
Completion : 7 years https://t.…"
90,"RT @vegix: The old school, non-industrialized way of making tofu.

There's something truly special about all of this.

In Asia tofu has bee…"
91,"RT @new_prykm: This video shows how South Korea Airport is dealing with #coronavirus #โคโรน่าไวรัส from spreading.

อยากเห็นแบบนี้ในไทย
Cr.…"
92,RT @hanzyboii: Why do I feel like he's gonna turn into a zombie
93,RT @BernieSanders: No one should have to watch a loved one die because they don't have health insurance. I don't understand what is so radi…
94,"RT @aminsyafee: 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…"
95,@ThinkyTexan @Unlockthedoor77 @SlsStudios @mirandadied4u @denyessence @PickledMsgnr @westworld1974 @aitorlorda85… https://t.co/KtLEQrV9h5
96,"#BorderForce #BorderFarce 
Put an isolation #hospital into each   City #Airport repurpose the #airport #hotels if n… https://t.co/syOWPNcDOh"
97,"RT @elmnzhri: #Coronavirus spreading in our country

The government: https://t.co/tR5kpqENgk"
98,RT @CuntyGowon: Omg keep streaming guys ✨
99,"RT @aminsyafee: 2020 so far;
- “world war 3”
- iran plane crash
- australian bushfires
- volcanic eruptions
- earthquake in indonesia
- jak…"
100,RT @954Cobi: Ngl if the whole city being quarantined i think this shit bigger than what they telling us😭
101,"The Beyond Bitcoin Show- Episode 94- Coronavirus, Eric Hoffer, Resentment &amp; doomers, California, Q&amp;A 
From @TechBalt
https://t.co/4hlm684KWs"
102,RT @Unkle_K: This is how the coronavirus started
103,"RT @HelpingHand_ZA: Suicide - 0800567567
Rape - 0214479762
Assault - 0861322322
Depression - 0800121314
Emergency - 112
ADHD Helpline - 080…"
104,"RT @markbeomnyoung: Hope everyone stays healthy 😭😭 This is seriously so scary.

https://t.co/IbL7aJasqk https://t.co/Du25sdwBkH"
105,China's President Xi says coronavirus situation 'grave' https://t.co/fVJuAgipLc via @smh
106,"@beginslikethis Ty, it's really weird for people to be super worried about my physical health after those things an… https://t.co/eMvzBQgD4R"
107,"RT @bedaduz: MERS coronavirus has very low person-to-person transmission. Also, it would only occur when you inhale a large number of virio…"
108,"RT @HausofHilton: Overthinking?

Turn off those notifications.
Don’t open the IG stories.
Find something to get your mind off it. 

When u…"
109,US citizen trapped at the epicenter of the coronavirus outbreak says she's angry and scared https://t.co/h3MBHZvvcu https://t.co/M4vmIy1yok
